期号,百位,十位,个位,和值,跨度,重复数字
1,0 ,7 ,3 ,10,7,0
2,2 ,3 ,7 ,12,5,0
3,0 ,7 ,1 ,8,7,0
4,2 ,0 ,4 ,6,4,0
5,3 ,7 ,4 ,14,4,0
6,1 ,2 ,8 ,11,7,0
7,8 ,4 ,9 ,21,5,0
8,8 ,5 ,2 ,15,6,0
9,1 ,5 ,5 ,11,4,1
10,7 ,9 ,5 ,21,4,0
11,2 ,1 ,7 ,10,6,0
12,4 ,8 ,2 ,14,6,0
13,9 ,8 ,6 ,23,3,0
14,2 ,3 ,2 ,7,1,1
15,8 ,7 ,1 ,16,7,0
16,1 ,7 ,1 ,9,6,1
17,1 ,0 ,2 ,3,2,0
18,1 ,7 ,8 ,16,7,0
19,4 ,4 ,6 ,14,2,1
20,7 ,3 ,7 ,17,4,1
21,8 ,5 ,9 ,22,4,0
22,9 ,4 ,7 ,20,5,0
23,6 ,8 ,1 ,15,7,0
24,1 ,9 ,7 ,17,8,0
25,5 ,1 ,3 ,9,4,0
26,7 ,8 ,0 ,15,8,0
27,2 ,4 ,8 ,14,6,0
28,8 ,1 ,0 ,9,8,0
29,9 ,5 ,3 ,17,6,0
30,5 ,2 ,5 ,12,3,1
31,5 ,1 ,1 ,7,4,1
32,1 ,3 ,3 ,7,2,1
33,9 ,6 ,4 ,19,5,0
34,7 ,3 ,4 ,14,4,0
35,9 ,1 ,2 ,12,8,0
36,3 ,3 ,4 ,10,1,1
37,7 ,0 ,6 ,13,7,0
38,5 ,1 ,6 ,12,5,0
39,6 ,2 ,2 ,10,4,1
40,3 ,0 ,5 ,8,5,0
41,4 ,3 ,6 ,13,3,0
42,1 ,1 ,6 ,8,5,1
43,1 ,9 ,0 ,10,9,0
44,0 ,8 ,2 ,10,8,0
45,0 ,9 ,8 ,17,9,0
46,6 ,4 ,6 ,16,2,1
47,1 ,1 ,8 ,10,7,1
48,4 ,0 ,9 ,13,9,0
49,8 ,3 ,0 ,11,8,0
50,3 ,5 ,2 ,10,3,0
51,4 ,7 ,6 ,17,3,0
52,5 ,6 ,5 ,16,1,1
53,3 ,5 ,2 ,10,3,0
54,4 ,5 ,7 ,16,3,0
55,0 ,3 ,7 ,10,7,0
56,7 ,3 ,3 ,13,4,1
57,7 ,6 ,3 ,16,4,0
58,8 ,0 ,0 ,8,8,1
59,8 ,1 ,8 ,17,7,1
60,6 ,9 ,2 ,17,7,0
61,8 ,7 ,8 ,23,1,1
62,3 ,4 ,1 ,8,3,0
63,4 ,0 ,8 ,12,8,0
64,7 ,7 ,9 ,23,2,1
65,8 ,5 ,2 ,15,6,0
66,1 ,2 ,1 ,4,1,1
67,6 ,5 ,7 ,18,2,0
68,4 ,8 ,2 ,14,6,0
69,8 ,7 ,4 ,19,4,0
70,9 ,3 ,3 ,15,6,1
71,8 ,3 ,0 ,11,8,0
72,2 ,2 ,2 ,6,0,1
73,7 ,0 ,8 ,15,8,0
74,3 ,1 ,9 ,13,8,0
75,2 ,7 ,6 ,15,5,0
76,8 ,6 ,7 ,21,2,0
77,2 ,3 ,9 ,14,7,0
78,2 ,7 ,3 ,12,5,0
79,1 ,3 ,2 ,6,2,0
80,4 ,4 ,3 ,11,1,1
81,5 ,5 ,6 ,16,1,1
82,4 ,6 ,0 ,10,6,0
83,3 ,1 ,5 ,9,4,0
84,0 ,8 ,3 ,11,8,0
85,1 ,0 ,6 ,7,6,0
86,2 ,9 ,9 ,20,7,1
87,2 ,8 ,3 ,13,6,0
88,7 ,7 ,5 ,19,2,1
89,9 ,5 ,6 ,20,4,0
90,5 ,5 ,3 ,13,2,1
91,3 ,6 ,0 ,9,6,0
92,4 ,3 ,5 ,12,2,0
93,2 ,1 ,8 ,11,7,0
94,2 ,8 ,3 ,13,6,0
95,7 ,8 ,6 ,21,2,0
96,4 ,2 ,7 ,13,5,0
97,1 ,5 ,5 ,11,4,1
98,1 ,5 ,9 ,15,8,0
99,9 ,1 ,3 ,13,8,0
100,6 ,3 ,5 ,14,3,0
101,2 ,2 ,4 ,8,2,1
102,0 ,1 ,2 ,3,2,0
103,0 ,8 ,8 ,16,8,1
104,8 ,1 ,8 ,17,7,1
105,9 ,3 ,3 ,15,6,1
106,2 ,8 ,7 ,17,6,0
107,3 ,1 ,4 ,8,3,0
108,5 ,8 ,4 ,17,4,0
109,6 ,2 ,5 ,13,4,0
110,3 ,4 ,4 ,11,1,1
111,0 ,9 ,1 ,10,9,0
112,9 ,9 ,0 ,18,9,1
113,2 ,1 ,1 ,4,1,1
114,4 ,9 ,3 ,16,6,0
