iter	MultiClass
0	2.256813209
1	2.214552406
2	2.180673918
3	2.144043374
4	2.11917854
5	2.092185357
6	2.061294927
7	2.033347782
8	1.997841485
9	1.973508867
10	1.948624622
11	1.931602706
12	1.90996937
13	1.892762282
14	1.872101626
15	1.857337758
16	1.846692522
17	1.826005048
18	1.814155415
19	1.804405837
20	1.792573898
21	1.782400249
22	1.772426731
23	1.767183202
24	1.758797138
25	1.748093555
26	1.742655187
27	1.733873151
28	1.717597681
29	1.702434809
30	1.686286425
31	1.678745823
32	1.669229993
33	1.65894946
34	1.641608909
35	1.636897649
36	1.618575343
37	1.609554672
38	1.607456431
39	1.593943947
40	1.579483679
41	1.559345188
42	1.554793814
43	1.551800655
44	1.548241737
45	1.542674619
46	1.532942113
47	1.529423719
48	1.515478899
49	1.507597718
50	1.50372572
51	1.492752301
52	1.489653962
