iter	Passed	Remaining
0	66	52890
1	127	51038
2	189	50398
3	254	50593
4	317	50463
5	379	50274
6	440	49950
7	503	49863
8	571	50227
9	633	50034
10	694	49801
11	754	49555
12	817	49482
13	879	49376
14	941	49264
15	1002	49105
16	1068	49213
17	1130	49106
18	1191	48958
19	1251	48816
20	1313	48711
21	1374	48598
22	1438	48587
23	1511	48883
24	1575	48855
25	1640	48849
26	1702	48733
27	1762	48583
28	1824	48515
29	1887	48441
30	1951	48407
31	2011	48280
32	2073	48193
33	2134	48089
34	2195	47995
35	2255	47862
36	2319	47828
37	2381	47746
38	2441	47643
39	2502	47552
40	2563	47460
41	2632	47502
42	2692	47392
43	2751	47281
44	2812	47189
45	2874	47124
46	2938	47075
47	2998	46982
48	3060	46905
49	3120	46804
50	3180	46714
51	3243	46657
52	3305	46587
